鄂尔多斯,东都花园,东胜东胜宝日陶亥东街市工商局旁,住宅,,,7000元/㎡,,,尚未公开,2011-01-15,2011-09-01,东胜宝日陶亥东街市工商局旁,板楼 高层,,,,,已竣工 交房时间：2013-01-11,住宅：2.60元/m²/月,暂无资料,,,https://eeds.fang.anjuke.com/loupan/canshu-394002.html,110.026642,39.826676
鄂尔多斯,新东城,东胜宝日陶亥街与哈日路交叉口（柴家梁富兴市场西）,商住,,,5500元/㎡,,鄂尔多斯建强房地产,尚未公开,2011-10-01,2012-10-01,东胜柴家梁变电站北,板楼 高层,,,,,,住宅：2.90元/m²/月,暂无资料,,,https://eeds.fang.anjuke.com/loupan/canshu-390169.html,0,0
鄂尔多斯,鄂尔多斯星河湾,东胜鄂尔多斯市东胜区布日都梁镇乡卫生院东200米,商住,,,14500元/㎡,,,尚未公开,2011-09-01,2012-12-01,鄂尔多斯市东胜区布日都梁镇乡卫生院东200米,板楼 高层,,,,,在建中,住宅：2.90元/m²/月,广州星河湾物业管理服务有限公司鄂尔多斯分公司,,,https://eeds.fang.anjuke.com/loupan/canshu-394143.html,0,0
达州,现代城,河西经济开发区,住宅,品牌开发商带幼儿园医院商场公寓,,3600元/㎡,400 603 2266,四川鑫记源房地产开发有限公司,尚未公开,2016-01-24,1#2#3#楼交房,万源市河西经济开发区,高层 超高层,1082户,住宅：70年,住宅：5.37,31.26%,,住宅：1.00元/m²/月,,,,https://dzh.fang.anjuke.com/loupan/canshu-427689.html,108.05047213283,32.07598120795
达州,西晶·御雅园——御菁园二期,达州市通川区西外万豪一品正后方,住宅,,,,,暂无资料,尚未公开,暂无数据,暂无数据,尚未公开,高层,,,,,,尚未公开,,510,,https://dzh.fang.anjuke.com/loupan/canshu-424823.html,107.46500642936,31.206823072203
达州,富春山居,西外紫荆花路（通川区人民医院斜对面 棕榈岛背后）,住宅,,,,,四川三鼎房地产开发有限公司,尚未公开,暂无数据,2019-03-30,西外白塔路（摩尔百货中信银行往通川区人民医院前,高层,136户,,,,,尚未公开,,178,1：1.3,https://dzh.fang.anjuke.com/loupan/canshu-424839.html,107.47038005549,31.217633158457
昭通,云房城市印象,昭阳区建设南街与启文街交汇处,住宅,,,,,昭通市云房房地产开发有限公司,尚未公开,暂无数据,暂无数据,昭通市建设北街82号,板楼 多层,,,,,,尚未公开,,,,https://zt.fang.anjuke.com/loupan/canshu-407902.html,103.726833,27.337125
鄂州,光谷翰林华府,鄂城区葛店经济开发区316国道北公安局旁（市政公园北）,住宅,,,2800元/㎡,,武汉金昊置业有限公司,尚未公开,2011-12-03,2013-05-30,鲁磨路108号（鲁磨路光谷广场公交站对面）,塔楼 高层,,,,,,住宅：1.00元/m²/月,,,,https://ez.fang.anjuke.com/loupan/canshu-401793.html,0,0
鄂州,光谷佳园商铺,葛店商业街上,店铺,,,3000元/㎡,,湖北鄂州华凯房地产开发有限公司,尚未公开,2011-09-15,2011-12-30,尚未公开,,,40年,,,,尚未公开,首年开发物业管理公司,,,https://ez.fang.anjuke.com/loupan/canshu-419388.html,114.64972473426,30.5392380562
鄂州,豪威城市广场,经济开发区发展大道8号,店铺,,,3000元/㎡,,湖北省豪威置业股份投资有限公司,尚未公开,暂无数据,暂无数据,鄂州经济开发区吴楚大道8号,,,70年,,,,尚未公开,,,,https://ez.fang.anjuke.com/loupan/canshu-419403.html,114.81956876761,30.395727138569
